lat,lon,year,month,day,wind_speed,altitude_m
27.5,77.5,2021,9,27,3.4961588,13510.6
27.5,77.5,2021,9,27,1.3975428,15799.14
27.5,77.5,2021,9,27,2.1460726,17671.37
27.5,77.5,2021,9,27,1.6807723,19324.79
27.5,77.5,2021,9,27,6.013006,21641.08
27.5,77.5,2021,9,27,8.3135805,23325.88
27.5,77.5,2021,9,27,9.831232,25921.43
27.5,77.5,2021,9,28,5.453896,110.9
27.5,77.5,2021,9,28,6.950043,762.08
27.5,77.5,2021,9,28,8.526794,1457.51
27.5,77.5,2021,9,28,9.320576,3012.62
27.5,77.5,2021,9,28,9.027803,4207.02
27.5,77.5,2021,9,28,5.7389555,5575.21
27.5,77.5,2021,9,28,2.6058824,7186.41
27.5,77.5,2021,9,28,2.0460327,9165.16
27.5,77.5,2021,9,28,3.4003675,10364.27
27.5,77.5,2021,9,28,4.1311316,11776.37
27.5,77.5,2021,9,28,4.85,13510.6
27.5,77.5,2021,9,28,4.581279,15799.14
27.5,77.5,2021,9,28,4.335104,17671.37
27.5,77.5,2021,9,28,2.5842063,19324.79
27.5,77.5,2021,9,28,5.079985,21641.08
27.5,77.5,2021,9,28,8.319894,23325.88
27.5,77.5,2021,9,28,11.854877,25921.43
27.5,77.5,2021,9,29,5.622554,110.9
27.5,77.5,2021,9,29,7.3608756,762.08
27.5,77.5,2021,9,29,8.393822,1457.51
27.5,77.5,2021,9,29,7.8908563,3012.62
27.5,77.5,2021,9,29,7.8005195,4207.02
27.5,77.5,2021,9,29,7.243702,5575.21
27.5,77.5,2021,9,29,5.282163,7186.41
27.5,77.5,2021,9,29,2.3565068,9165.16
27.5,77.5,2021,9,29,4.2346787,10364.27
27.5,77.5,2021,9,29,4.536587,11776.37
27.5,77.5,2021,9,29,8.331604,13510.6
27.5,77.5,2021,9,29,8.761599,15799.14
27.5,77.5,2021,9,29,5.6827035,17671.37
27.5,77.5,2021,9,29,0.91685545,19324.79
27.5,77.5,2021,9,29,4.411916,21641.08
27.5,77.5,2021,9,29,5.5723095,23325.88
27.5,77.5,2021,9,29,7.2229233,25921.43
27.5,77.5,2021,9,30,1.990759,110.9
27.5,77.5,2021,9,30,2.116156,762.08
27.5,77.5,2021,9,30,3.8964717,1457.51
27.5,77.5,2021,9,30,4.940204,3012.62
27.5,77.5,2021,9,30,4.5506177,4207.02
27.5,77.5,2021,9,30,3.8432558,5575.21
27.5,77.5,2021,9,30,2.113201,7186.41
27.5,77.5,2021,9,30,1.2023419,9165.16
27.5,77.5,2021,9,30,3.2810075,10364.27
27.5,77.5,2021,9,30,1.8884518,11776.37
27.5,77.5,2021,9,30,2.5760918,13510.6
27.5,77.5,2021,9,30,7.835216,15799.14
27.5,77.5,2021,9,30,4.8128076,17671.37
27.5,77.5,2021,9,30,1.3287677,19324.79
27.5,77.5,2021,9,30,4.96645,21641.08
27.5,77.5,2021,9,30,6.2678742,23325.88
27.5,77.5,2021,9,30,6.913121,25921.43
27.5,77.5,2021,10,1,2.031778,110.9
27.5,77.5,2021,10,1,3.9288995,762.08
27.5,77.5,2021,10,1,4.875,1457.51
27.5,77.5,2021,10,1,5.5615306,3012.62
27.5,77.5,2021,10,1,5.61037,4207.02
27.5,77.5,2021,10,1,5.3600373,5575.21
27.5,77.5,2021,10,1,6.6273108,7186.41
27.5,77.5,2021,10,1,8.128231,9165.16
27.5,77.5,2021,10,1,7.6157737,10364.27
27.5,77.5,2021,10,1,6.5507636,11776.37
27.5,77.5,2021,10,1,5.999271,13510.6
27.5,77.5,2021,10,1,8.04767,15799.14
27.5,77.5,2021,10,1,4.7807555,17671.37
27.5,77.5,2021,10,1,2.4952452,19324.79
27.5,77.5,2021,10,1,4.804165,21641.08
27.5,77.5,2021,10,1,6.50908,23325.88
27.5,77.5,2021,10,1,7.5954347,25921.43
27.5,77.5,2021,10,2,1.7266301,110.9
27.5,77.5,2021,10,2,4.950253,762.08
27.5,77.5,2021,10,2,5.548085,1457.51
27.5,77.5,2021,10,2,4.9417233,3012.62
27.5,77.5,2021,10,2,5.814046,4207.02
27.5,77.5,2021,10,2,7.6665688,5575.21
27.5,77.5,2021,10,2,10.683164,7186.41
27.5,77.5,2021,10,2,11.180004,9165.16
27.5,77.5,2021,10,2,9.200577,10364.27
27.5,77.5,2021,10,2,7.506747,11776.37
27.5,77.5,2021,10,2,4.517328,13510.6
27.5,77.5,2021,10,2,5.8269305,15799.14
27.5,77.5,2021,10,2,4.5459466,17671.37
27.5,77.5,2021,10,2,3.0635974,19324.79
27.5,77.5,2021,10,2,4.2825956,21641.08
27.5,77.5,2021,10,2,6.556867,23325.88
